Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2012/2013,11/11/2012,16:00,Korona Kielce,Wisla,1,1,D,2.68,3.23,2.92,2.68,3.23,3.2,2.46,3.06,2.89
Poland,Ekstraklasa,2012/2013,12/11/2012,17:30,GKS Belchatow,Pogon Szczecin,0,1,A,2.78,3.24,2.79,3,3.24,2.79,2.71,3.13,2.57
Poland,Ekstraklasa,2012/2013,16/11/2012,17:00,Zaglebie,GKS Belchatow,1,0,H,1.55,4.12,7.24,1.65,4.12,7.24,1.54,3.75,6.12
Poland,Ekstraklasa,2012/2013,16/11/2012,19:45,Lechia Gdansk,Widzew Lodz,2,0,H,2,3.54,4.12,2.04,3.54,4.4,1.96,3.25,3.86
Poland,Ekstraklasa,2012/2013,17/11/2012,12:30,Piast Gliwice,Podbeskidzie,1,0,H,1.83,3.59,4.98,1.85,3.61,5,1.79,3.41,4.41
Poland,Ekstraklasa,2012/2013,17/11/2012,14:45,Jagiellonia,Korona Kielce,0,0,D,2.15,3.37,3.81,2.15,3.5,4.25,1.99,3.27,3.69
Poland,Ekstraklasa,2012/2013,17/11/2012,18:30,Polonia Warszawa,Gornik Z.,1,1,D,2.18,3.37,3.72,2.25,3.4,3.74,2.14,3.18,3.36
Poland,Ekstraklasa,2012/2013,18/11/2012,13:30,Lech Poznan,Legia,1,3,A,2.71,3.25,2.87,2.71,3.25,2.92,2.52,3.08,2.81
Poland,Ekstraklasa,2012/2013,18/11/2012,16:00,Wisla,Slask Wroclaw,1,0,H,2.25,3.28,3.62,2.25,3.4,3.7,2.17,3.16,3.33
Poland,Ekstraklasa,2012/2013,19/11/2012,17:30,Pogon Szczecin,Ruch,1,0,H,2.41,3.17,3.37,2.45,3.5,3.65,2.33,3.13,3.02
Poland,Ekstraklasa,2012/2013,23/11/2012,17:00,Korona Kielce,Piast Gliwice,4,0,H,2.13,3.41,3.74,2.2,3.5,4,2.09,3.2,3.49
Poland,Ekstraklasa,2012/2013,23/11/2012,19:45,Legia,Widzew Lodz,1,0,H,1.33,5.21,11.51,1.4,5.21,12,1.33,4.54,9.77
Poland,Ekstraklasa,2012/2013,24/11/2012,12:30,GKS Belchatow,Lechia Gdansk,1,1,D,3.47,3.24,2.33,3.47,3.3,2.38,3.17,3.14,2.24
Poland,Ekstraklasa,2012/2013,24/11/2012,14:45,Polonia Warszawa,Zaglebie,0,1,A,1.82,3.58,5.13,1.82,3.64,5.4,1.73,3.42,4.85
Poland,Ekstraklasa,2012/2013,24/11/2012,17:00,Gornik Z.,Pogon Szczecin,0,0,D,1.76,3.66,5.5,1.76,3.7,6,1.69,3.44,5.15
Poland,Ekstraklasa,2012/2013,25/11/2012,13:30,Slask Wroclaw,Jagiellonia,3,3,D,1.92,3.5,4.58,1.96,3.5,4.58,1.88,3.25,4.12
Poland,Ekstraklasa,2012/2013,25/11/2012,16:00,Ruch,Wisla,1,2,A,2.58,3.23,3.05,2.58,3.25,3.15,2.41,3.08,2.94
Poland,Ekstraklasa,2012/2013,26/11/2012,17:30,Podbeskidzie,Lech Poznan,2,3,A,5.41,3.61,1.78,5.41,3.61,1.9,4.72,3.33,1.77
Poland,Ekstraklasa,2012/2013,30/11/2012,17:00,Jagiellonia,GKS Belchatow,2,2,D,1.88,3.45,4.94,1.9,3.6,5.5,1.76,3.31,4.78
Poland,Ekstraklasa,2012/2013,30/11/2012,19:45,Lech Poznan,Slask Wroclaw,0,3,A,1.96,3.57,4.25,2,3.57,4.4,1.89,3.35,3.99
Poland,Ekstraklasa,2012/2013,01/12/2012,12:30,Pogon Szczecin,Podbeskidzie,2,0,H,1.84,3.52,5.05,1.91,3.52,5.05,1.83,3.3,4.34
Poland,Ekstraklasa,2012/2013,01/12/2012,14:45,Widzew Lodz,Korona Kielce,1,0,H,2.67,3.19,2.97,2.67,3.25,3.1,2.44,3.1,2.88
Poland,Ekstraklasa,2012/2013,01/12/2012,17:00,Wisla,Gornik Z.,1,3,A,2.56,3.14,3.16,2.56,3.25,3.5,2.37,3.05,3.05
Poland,Ekstraklasa,2012/2013,02/12/2012,13:30,Lechia Gdansk,Zaglebie,2,2,D,2.59,3.18,3.08,2.6,3.2,3.35,2.34,3.07,3.07
Poland,Ekstraklasa,2012/2013,02/12/2012,16:00,Legia,Ruch,3,0,H,1.44,4.62,8.66,1.45,4.8,10,1.4,4.2,7.86
Poland,Ekstraklasa,2012/2013,03/12/2012,17:30,Piast Gliwice,Polonia Warszawa,1,1,D,3.96,3.37,2.1,4.3,3.4,2.15,3.69,3.18,2.02
